alias,dwc_term
species,scientificName
scientific_name,scientificName
taxon,scientificName
collector,recordedBy
observer,recordedBy
observation_date,eventDate
date_collected,eventDate
year,eventDate
country,country
state,stateProvince
province,stateProvince
county,county
locality,locality
lat,decimalLatitude
latitude,decimalLatitude
lon,decimalLongitude
long,decimalLongitude
longitude,decimalLongitude
coord_uncertainty_m,coordinateUncertaintyInMeters
institution,institutionCode
catalog_number,catalogNumber
